Date,Location_ID,Location_Name,Location_Type,Product_ID,Product_Name,Category,Sub_Category,Price,Sales_Qty,Revenue,Current_Stock,Target_Stock
2025-08-04,S_001,Gachibowli,Store,E_002,Samsung S24,Electronics,Mobile,75000,7,525000,31,35
2025-08-04,S_001,Gachibowli,Store,E_003,MacBook Air,Electronics,Laptop,100000,3,300000,14,14
2025-08-04,S_001,Gachibowli,Store,E_004,Sony Headphones,Electronics,Audio,20000,6,120000,63,56
2025-08-04,S_001,Gachibowli,Store,D_001,Fresh Milk 1L,Daily Needs,Dairy,60,130,7800,930,1400
2025-08-04,S_001,Gachibowli,Store,D_002,Whole Wheat Bread,Daily Needs,Bakery,50,181,9050,732,1050
2025-08-04,S_001,Gachibowli,Store,D_003,Farm Eggs (12),Daily Needs,Dairy,90,112,10080,649,700
2025-08-04,S_001,Gachibowli,Store,D_004,Tomatoes (1kg),Daily Needs,Vegetables,40,175,7000,1632,1260
2025-08-04,S_001,Gachibowli,Store,H_001,Detergent 2kg,Home Essentials,Cleaning,350,59,20650,354,280
2025-08-04,S_001,Gachibowli,Store,H_002,Toilet Paper Pack,Home Essentials,Cleaning,200,61,12200,317,420
2025-08-04,S_001,Gachibowli,Store,H_003,Study Table,Home Essentials,Furniture,4000,1,4000,5,7
2025-08-04,S_001,Gachibowli,Store,F_001,Mens T-Shirt,Fashion,Menswear,800,31,24800,165,175
2025-08-04,S_001,Gachibowli,Store,F_002,Womans Jeans,Fashion,Womenswear,2500,29,72500,19,105
2025-08-04,S_002,Jubilee Hills,Store,E_001,iPhone 15,Electronics,Mobile,80000,8,640000,23,35
2025-08-04,S_002,Jubilee Hills,Store,E_002,Samsung S24,Electronics,Mobile,75000,7,525000,20,35
2025-08-04,S_002,Jubilee Hills,Store,E_003,MacBook Air,Electronics,Laptop,100000,2,200000,17,14
2025-08-04,S_002,Jubilee Hills,Store,E_004,Sony Headphones,Electronics,Audio,20000,13,260000,61,56
2025-08-04,S_002,Jubilee Hills,Store,D_001,Fresh Milk 1L,Daily Needs,Dairy,60,340,20400,1261,1400
2025-08-04,S_002,Jubilee Hills,Store,D_002,Whole Wheat Bread,Daily Needs,Bakery,50,246,12300,202,1050
2025-08-04,S_002,Jubilee Hills,Store,D_003,Farm Eggs (12),Daily Needs,Dairy,90,139,12510,564,700
2025-08-04,S_002,Jubilee Hills,Store,D_004,Tomatoes (1kg),Daily Needs,Vegetables,40,305,12200,1142,1260
2025-08-04,S_002,Jubilee Hills,Store,H_001,Detergent 2kg,Home Essentials,Cleaning,350,46,16100,20,280
2025-08-04,S_002,Jubilee Hills,Store,H_002,Toilet Paper Pack,Home Essentials,Cleaning,200,89,17800,392,420
2025-08-04,S_002,Jubilee Hills,Store,H_003,Study Table,Home Essentials,Furniture,4000,1,4000,2,7
2025-08-04,S_002,Jubilee Hills,Store,F_001,Mens T-Shirt,Fashion,Menswear,800,49,39200,114,175
2025-08-04,S_002,Jubilee Hills,Store,F_002,Womans Jeans,Fashion,Womenswear,2500,26,65000,75,105
2025-08-04,S_003,Madhapur,Store,E_001,iPhone 15,Electronics,Mobile,80000,3,240000,22,35
2025-08-04,S_003,Madhapur,Store,E_002,Samsung S24,Electronics,Mobile,75000,5,375000,10,35
2025-08-04,S_003,Madhapur,Store,E_003,MacBook Air,Electronics,Laptop,100000,2,200000,7,14
2025-08-04,S_003,Madhapur,Store,E_004,Sony Headphones,Electronics,Audio,20000,10,200000,66,56
2025-08-04,S_003,Madhapur,Store,D_001,Fresh Milk 1L,Daily Needs,Dairy,60,167,10020,1790,1400
2025-08-04,S_003,Madhapur,Store,D_002,Whole Wheat Bread,Daily Needs,Bakery,50,147,7350,1274,1050
2025-08-04,S_003,Madhapur,Store,D_003,Farm Eggs (12),Daily Needs,Dairy,90,115,10350,569,700
2025-08-04,S_003,Madhapur,Store,D_004,Tomatoes (1kg),Daily Needs,Vegetables,40,193,7720,618,1260
2025-08-04,S_003,Madhapur,Store,H_001,Detergent 2kg,Home Essentials,Cleaning,350,40,14000,170,280
2025-08-04,S_003,Madhapur,Store,H_002,Toilet Paper Pack,Home Essentials,Cleaning,200,69,13800,119,420
2025-08-04,S_003,Madhapur,Store,H_003,Study Table,Home Essentials,Furniture,4000,0,0,7,7
2025-08-04,S_003,Madhapur,Store,F_001,Mens T-Shirt,Fashion,Menswear,800,24,19200,140,175
2025-08-04,S_003,Madhapur,Store,F_002,Womans Jeans,Fashion,Womenswear,2500,16,40000,148,105
2025-08-04,S_004,Kukatpally,Store,E_001,iPhone 15,Electronics,Mobile,80000,5,400000,33,35
2025-08-04,S_004,Kukatpally,Store,E_002,Samsung S24,Electronics,Mobile,75000,4,300000,24,35
2025-08-04,S_004,Kukatpally,Store,E_003,MacBook Air,Electronics,Laptop,100000,1,100000,11,14
2025-08-04,S_004,Kukatpally,Store,E_004,Sony Headphones,Electronics,Audio,20000,7,140000,41,56
2025-08-04,S_004,Kukatpally,Store,D_001,Fresh Milk 1L,Daily Needs,Dairy,60,199,11940,1665,1400
2025-08-04,S_004,Kukatpally,Store,D_002,Whole Wheat Bread,Daily Needs,Bakery,50,129,6450,658,1050
2025-08-04,S_004,Kukatpally,Store,D_003,Farm Eggs (12),Daily Needs,Dairy,90,98,8820,500,700
2025-08-04,S_004,Kukatpally,Store,D_004,Tomatoes (1kg),Daily Needs,Vegetables,40,171,6840,980,1260
2025-08-04,S_004,Kukatpally,Store,H_001,Detergent 2kg,Home Essentials,Cleaning,350,38,13300,254,280
2025-08-04,S_004,Kukatpally,Store,H_002,Toilet Paper Pack,Home Essentials,Cleaning,200,49,9800,338,420
2025-08-04,S_004,Kukatpally,Store,H_003,Study Table,Home Essentials,Furniture,4000,0,0,4,7
2025-08-04,S_004,Kukatpally,Store,F_001,Mens T-Shirt,Fashion,Menswear,800,22,17600,257,175
2025-08-04,S_004,Kukatpally,Store,F_002,Womans Jeans,Fashion,Womenswear,2500,14,35000,134,105
2025-08-04,S_005,Banjara Hills,Store,E_001,iPhone 15,Electronics,Mobile,80000,5,400000,35,35
2025-08-04,S_005,Banjara Hills,Store,E_002,Samsung S24,Electronics,Mobile,75000,4,300000,35,35
2025-08-04,S_005,Banjara Hills,Store,E_003,MacBook Air,Electronics,Laptop,100000,1,100000,10,14
2025-08-04,S_005,Banjara Hills,Store,E_004,Sony Headphones,Electronics,Audio,20000,7,140000,68,56
2025-08-04,S_005,Banjara Hills,Store,D_001,Fresh Milk 1L,Daily Needs,Dairy,60,216,12960,349,1400
2025-08-04,S_005,Banjara Hills,Store,D_002,Whole Wheat Bread,Daily Needs,Bakery,50,174,8700,996,1050
2025-08-04,S_005,Banjara Hills,Store,D_003,Farm Eggs (12),Daily Needs,Dairy,90,82,7380,583,700
2025-08-04,S_005,Banjara Hills,Store,D_004,Tomatoes (1kg),Daily Needs,Vegetables,40,203,8120,488,1260
2025-08-04,S_005,Banjara Hills,Store,H_001,Detergent 2kg,Home Essentials,Cleaning,350,42,14700,20,280
2025-08-04,S_005,Banjara Hills,Store,H_002,Toilet Paper Pack,Home Essentials,Cleaning,200,51,10200,569,420
2025-08-04,S_005,Banjara Hills,Store,H_003,Study Table,Home Essentials,Furniture,4000,1,4000,5,7
2025-08-04,S_005,Banjara Hills,Store,F_001,Mens T-Shirt,Fashion,Menswear,800,31,24800,61,175
2025-08-04,S_005,Banjara Hills,Store,F_002,Womans Jeans,Fashion,Womenswear,2500,14,35000,75,105
2025-08-04,S_006,Kondapur,Store,E_001,iPhone 15,Electronics,Mobile,80000,5,400000,35,35
2025-08-04,S_006,Kondapur,Store,E_002,Samsung S24,Electronics,Mobile,75000,6,450000,2,35
2025-08-04,S_006,Kondapur,Store,E_003,MacBook Air,Electronics,Laptop,100000,1,100000,13,14
2025-08-04,S_006,Kondapur,Store,E_004,Sony Headphones,Electronics,Audio,20000,7,140000,42,56
2025-08-04,S_006,Kondapur,Store,D_001,Fresh Milk 1L,Daily Needs,Dairy,60,171,10260,363,1400
2025-08-04,S_006,Kondapur,Store,D_002,Whole Wheat Bread,Daily Needs,Bakery,50,130,6500,407,1050
2025-08-04,S_006,Kondapur,Store,D_003,Farm Eggs (12),Daily Needs,Dairy,90,122,10980,578,700
2025-08-04,S_006,Kondapur,Store,D_004,Tomatoes (1kg),Daily Needs,Vegetables,40,228,9120,1768,1260
2025-08-04,S_006,Kondapur,Store,H_001,Detergent 2kg,Home Essentials,Cleaning,350,37,12950,182,280
2025-08-04,S_006,Kondapur,Store,H_002,Toilet Paper Pack,Home Essentials,Cleaning,200,52,10400,305,420
2025-08-04,S_006,Kondapur,Store,H_003,Study Table,Home Essentials,Furniture,4000,0,0,7,7
2025-08-04,S_006,Kondapur,Store,F_001,Mens T-Shirt,Fashion,Menswear,800,26,20800,110,175
2025-08-04,S_006,Kondapur,Store,F_002,Womans Jeans,Fashion,Womenswear,2500,13,32500,54,105
2025-08-04,S_007,Begumpet,Store,E_001,iPhone 15,Electronics,Mobile,80000,7,560000,30,35
2025-08-04,S_007,Begumpet,Store,E_002,Samsung S24,Electronics,Mobile,75000,5,375000,10,35
2025-08-04,S_007,Begumpet,Store,E_003,MacBook Air,Electronics,Laptop,100000,1,100000,12,14
2025-08-04,S_007,Begumpet,Store,E_004,Sony Headphones,Electronics,Audio,20000,7,140000,4,56
2025-08-04,S_007,Begumpet,Store,D_001,Fresh Milk 1L,Daily Needs,Dairy,60,171,10260,1318,1400
2025-08-04,S_007,Begumpet,Store,D_002,Whole Wheat Bread,Daily Needs,Bakery,50,106,5300,1037,1050
2025-08-04,S_007,Begumpet,Store,D_003,Farm Eggs (12),Daily Needs,Dairy,90,114,10260,309,700
2025-08-04,S_007,Begumpet,Store,D_004,Tomatoes (1kg),Daily Needs,Vegetables,40,211,8440,1218,1260
2025-08-04,S_007,Begumpet,Store,H_001,Detergent 2kg,Home Essentials,Cleaning,350,34,11900,237,280
2025-08-04,S_007,Begumpet,Store,H_002,Toilet Paper Pack,Home Essentials,Cleaning,200,74,14800,270,420
2025-08-04,S_007,Begumpet,Store,H_003,Study Table,Home Essentials,Furniture,4000,1,4000,3,7
2025-08-04,S_007,Begumpet,Store,F_001,Mens T-Shirt,Fashion,Menswear,800,23,18400,129,175
2025-08-04,S_007,Begumpet,Store,F_002,Womans Jeans,Fashion,Womenswear,2500,17,42500,108,105
2025-08-04,S_008,Uppal,Store,E_001,iPhone 15,Electronics,Mobile,80000,5,400000,31,35
2025-08-04,S_008,Uppal,Store,E_002,Samsung S24,Electronics,Mobile,75000,5,375000,40,35
2025-08-04,S_008,Uppal,Store,E_003,MacBook Air,Electronics,Laptop,100000,2,200000,16,14
2025-08-04,S_008,Uppal,Store,E_004,Sony Headphones,Electronics,Audio,20000,10,200000,38,56
2025-08-04,S_008,Uppal,Store,D_001,Fresh Milk 1L,Daily Needs,Dairy,60,246,14760,1138,1400
2025-08-04,S_008,Uppal,Store,D_002,Whole Wheat Bread,Daily Needs,Bakery,50,128,6400,964,1050
2025-08-04,S_008,Uppal,Store,D_003,Farm Eggs (12),Daily Needs,Dairy,90,87,7830,828,700
2025-08-04,S_008,Uppal,Store,D_004,Tomatoes (1kg),Daily Needs,Vegetables,40,193,7720,864,1260
2025-08-04,S_008,Uppal,Store,H_001,Detergent 2kg,Home Essentials,Cleaning,350,32,11200,266,280
2025-08-04,S_008,Uppal,Store,H_002,Toilet Paper Pack,Home Essentials,Cleaning,200,75,15000,212,420
2025-08-04,S_008,Uppal,Store,H_003,Study Table,Home Essentials,Furniture,4000,1,4000,0,7
2025-08-04,S_008,Uppal,Store,F_001,Mens T-Shirt,Fashion,Menswear,800,18,14400,71,175
2025-08-04,S_008,Uppal,Store,F_002,Womans Jeans,Fashion,Womenswear,2500,19,47500,74,105
2025-08-04,S_009,Dilsukhnagar,Store,E_001,iPhone 15,Electronics,Mobile,80000,5,400000,22,35
2025-08-04,S_009,Dilsukhnagar,Store,E_002,Samsung S24,Electronics,Mobile,75000,3,225000,26,35
2025-08-04,S_009,Dilsukhnagar,Store,E_003,MacBook Air,Electronics,Laptop,100000,2,200000,10,14
2025-08-04,S_009,Dilsukhnagar,Store,E_004,Sony Headphones,Electronics,Audio,20000,6,120000,4,56
2025-08-04,S_009,Dilsukhnagar,Store,D_001,Fresh Milk 1L,Daily Needs,Dairy,60,216,12960,1470,1400
2025-08-04,S_009,Dilsukhnagar,Store,D_002,Whole Wheat Bread,Daily Needs,Bakery,50,173,8650,653,1050
2025-08-04,S_009,Dilsukhnagar,Store,D_003,Farm Eggs (12),Daily Needs,Dairy,90,79,7110,293,700
2025-08-04,S_009,Dilsukhnagar,Store,D_004,Tomatoes (1kg),Daily Needs,Vegetables,40,181,7240,1234,1260
2025-08-04,S_009,Dilsukhnagar,Store,H_001,Detergent 2kg,Home Essentials,Cleaning,350,49,17150,180,280
2025-08-04,S_009,Dilsukhnagar,Store,H_002,Toilet Paper Pack,Home Essentials,Cleaning,200,53,10600,370,420
2025-08-04,S_009,Dilsukhnagar,Store,H_003,Study Table,Home Essentials,Furniture,4000,0,0,8,7
2025-08-04,S_009,Dilsukhnagar,Store,F_001,Mens T-Shirt,Fashion,Menswear,800,27,21600,255,175
2025-08-04,S_009,Dilsukhnagar,Store,F_002,Womans Jeans,Fashion,Womenswear,2500,19,47500,108,105
2025-08-04,S_010,Charminar,Store,E_001,iPhone 15,Electronics,Mobile,80000,5,400000,41,35
2025-08-04,S_010,Charminar,Store,E_002,Samsung S24,Electronics,Mobile,75000,5,375000,15,35
2025-08-04,S_010,Charminar,Store,E_003,MacBook Air,Electronics,Laptop,100000,1,100000,12,14
2025-08-04,S_010,Charminar,Store,E_004,Sony Headphones,Electronics,Audio,20000,9,180000,41,56
2025-08-04,S_010,Charminar,Store,D_001,Fresh Milk 1L,Daily Needs,Dairy,60,173,10380,1924,1400
2025-08-04,S_010,Charminar,Store,D_002,Whole Wheat Bread,Daily Needs,Bakery,50,145,7250,549,1050
2025-08-04,S_010,Charminar,Store,D_003,Farm Eggs (12),Daily Needs,Dairy,90,94,8460,969,700
2025-08-04,S_010,Charminar,Store,D_004,Tomatoes (1kg),Daily Needs,Vegetables,40,171,6840,1008,1260
2025-08-04,S_010,Charminar,Store,H_001,Detergent 2kg,Home Essentials,Cleaning,350,39,13650,244,280
2025-08-04,S_010,Charminar,Store,H_002,Toilet Paper Pack,Home Essentials,Cleaning,200,72,14400,147,420
2025-08-04,S_010,Charminar,Store,H_003,Study Table,Home Essentials,Furniture,4000,1,4000,3,7
2025-08-04,S_010,Charminar,Store,F_001,Mens T-Shirt,Fashion,Menswear,800,22,17600,101,175
2025-08-04,S_010,Charminar,Store,F_002,Womans Jeans,Fashion,Womenswear,2500,13,32500,80,105
2025-08-05,W_001,Shamirpet Central Warehouse,Warehouse,E_001,iPhone 15,Electronics,Mobile,80000,0,0,2500,0
2025-08-05,W_001,Shamirpet Central Warehouse,Warehouse,E_002,Samsung S24,Electronics,Mobile,75000,0,0,2500,0
2025-08-05,W_001,Shamirpet Central Warehouse,Warehouse,E_003,MacBook Air,Electronics,Laptop,100000,0,0,1000,0
2025-08-05,W_001,Shamirpet Central Warehouse,Warehouse,E_004,Sony Headphones,Electronics,Audio,20000,0,0,4000,0
2025-08-05,W_001,Shamirpet Central Warehouse,Warehouse,D_001,Fresh Milk 1L,Daily Needs,Dairy,60,0,0,100000,0
2025-08-05,W_001,Shamirpet Central Warehouse,Warehouse,D_002,Whole Wheat Bread,Daily Needs,Bakery,50,0,0,75000,0
2025-08-05,W_001,Shamirpet Central Warehouse,Warehouse,D_003,Farm Eggs (12),Daily Needs,Dairy,90,0,0,50000,0
2025-08-05,W_001,Shamirpet Central Warehouse,Warehouse,D_004,Tomatoes (1kg),Daily Needs,Vegetables,40,0,0,90000,0
2025-08-05,W_001,Shamirpet Central Warehouse,Warehouse,H_001,Detergent 2kg,Home Essentials,Cleaning,350,0,0,20000,0
2025-08-05,W_001,Shamirpet Central Warehouse,Warehouse,H_002,Toilet Paper Pack,Home Essentials,Cleaning,200,0,0,30000,0
2025-08-05,W_001,Shamirpet Central Warehouse,Warehouse,H_003,Study Table,Home Essentials,Furniture,4000,0,0,500,0
2025-08-05,W_001,Shamirpet Central Warehouse,Warehouse,F_001,Mens T-Shirt,Fashion,Menswear,800,0,0,12500,0
2025-08-05,W_001,Shamirpet Central Warehouse,Warehouse,F_002,Womans Jeans,Fashion,Womenswear,2500,0,0,7500,0
2025-08-05,S_001,Gachibowli,Store,E_001,iPhone 15,Electronics,Mobile,80000,4,320000,28,35
2025-08-05,S_001,Gachibowli,Store,E_002,Samsung S24,Electronics,Mobile,75000,5,375000,42,35
2025-08-05,S_001,Gachibowli,Store,E_003,MacBook Air,Electronics,Laptop,100000,2,200000,11,14
2025-08-05,S_001,Gachibowli,Store,E_004,Sony Headphones,Electronics,Audio,20000,11,220000,65,56
2025-08-05,S_001,Gachibowli,Store,D_001,Fresh Milk 1L,Daily Needs,Dairy,60,203,12180,1781,1400
2025-08-05,S_001,Gachibowli,Store,D_002,Whole Wheat Bread,Daily Needs,Bakery,50,286,14300,770,1050
2025-08-05,S_001,Gachibowli,Store,D_003,Farm Eggs (12),Daily Needs,Dairy,90,91,8190,374,700
2025-08-05,S_001,Gachibowli,Store,D_004,Tomatoes (1kg),Daily Needs,Vegetables,40,312,12480,1046,1260
2025-08-05,S_001,Gachibowli,Store,H_001,Detergent 2kg,Home Essentials,Cleaning,350,48,16800,294,280
2025-08-05,S_001,Gachibowli,Store,H_002,Toilet Paper Pack,Home Essentials,Cleaning,200,70,14000,30,420
2025-08-05,S_001,Gachibowli,Store,H_003,Study Table,Home Essentials,Furniture,4000,0,0,5,7
2025-08-05,S_001,Gachibowli,Store,F_001,Mens T-Shirt,Fashion,Menswear,800,27,21600,181,175
2025-08-05,S_001,Gachibowli,Store,F_002,Womans Jeans,Fashion,Womenswear,2500,24,60000,57,105
2025-08-05,S_002,Jubilee Hills,Store,E_001,iPhone 15,Electronics,Mobile,80000,7,560000,49,35
2025-08-05,S_002,Jubilee Hills,Store,E_002,Samsung S24,Electronics,Mobile,75000,10,750000,31,35
2025-08-05,S_002,Jubilee Hills,Store,E_003,MacBook Air,Electronics,Laptop,100000,3,300000,10,14
2025-08-05,S_002,Jubilee Hills,Store,E_004,Sony Headphones,Electronics,Audio,20000,7,140000,41,56
2025-08-05,S_002,Jubilee Hills,Store,D_001,Fresh Milk 1L,Daily Needs,Dairy,60,279,16740,456,1400
2025-08-05,S_002,Jubilee Hills,Store,D_002,Whole Wheat Bread,Daily Needs,Bakery,50,203,10150,1053,1050
2025-08-05,S_002,Jubilee Hills,Store,D_003,Farm Eggs (12),Daily Needs,Dairy,90,135,12150,573,700
2025-08-05,S_002,Jubilee Hills,Store,D_004,Tomatoes (1kg),Daily Needs,Vegetables,40,259,10360,90,1260
2025-08-05,S_002,Jubilee Hills,Store,H_001,Detergent 2kg,Home Essentials,Cleaning,350,49,17150,257,280
2025-08-05,S_002,Jubilee Hills,Store,H_002,Toilet Paper Pack,Home Essentials,Cleaning,200,83,16600,350,420
2025-08-05,S_002,Jubilee Hills,Store,H_003,Study Table,Home Essentials,Furniture,4000,1,4000,5,7
2025-08-05,S_002,Jubilee Hills,Store,F_001,Mens T-Shirt,Fashion,Menswear,800,43,34400,116,175
2025-08-05,S_002,Jubilee Hills,Store,F_002,Womans Jeans,Fashion,Womenswear,2500,23,57500,47,105
2025-08-05,S_003,Madhapur,Store,E_001,iPhone 15,Electronics,Mobile,80000,3,240000,32,35
2025-08-05,S_003,Madhapur,Store,E_002,Samsung S24,Electronics,Mobile,75000,4,300000,36,35
2025-08-05,S_003,Madhapur,Store,E_003,MacBook Air,Electronics,Laptop,100000,1,100000,17,14
2025-08-05,S_003,Madhapur,Store,E_004,Sony Headphones,Electronics,Audio,20000,7,140000,33,56
2025-08-05,S_003,Madhapur,Store,D_001,Fresh Milk 1L,Daily Needs,Dairy,60,146,8760,2008,1400
2025-08-05,S_003,Madhapur,Store,D_002,Whole Wheat Bread,Daily Needs,Bakery,50,169,8450,497,1050
2025-08-05,S_003,Madhapur,Store,D_003,Farm Eggs (12),Daily Needs,Dairy,90,113,10170,252,700
2025-08-05,S_003,Madhapur,Store,D_004,Tomatoes (1kg),Daily Needs,Vegetables,40,154,6160,398,1260
2025-08-05,S_003,Madhapur,Store,H_001,Detergent 2kg,Home Essentials,Cleaning,350,34,11900,208,280
2025-08-05,S_003,Madhapur,Store,H_002,Toilet Paper Pack,Home Essentials,Cleaning,200,76,15200,87,420
2025-08-05,S_003,Madhapur,Store,H_003,Study Table,Home Essentials,Furniture,4000,0,0,4,7
2025-08-05,S_003,Madhapur,Store,F_001,Mens T-Shirt,Fashion,Menswear,800,30,24000,132,175
2025-08-05,S_003,Madhapur,Store,F_002,Womans Jeans,Fashion,Womenswear,2500,14,35000,127,105
2025-08-05,S_004,Kukatpally,Store,E_001,iPhone 15,Electronics,Mobile,80000,5,400000,27,35
2025-08-05,S_004,Kukatpally,Store,E_002,Samsung S24,Electronics,Mobile,75000,5,375000,28,35
2025-08-05,S_004,Kukatpally,Store,E_003,MacBook Air,Electronics,Laptop,100000,1,100000,10,14
2025-08-05,S_004,Kukatpally,Store,E_004,Sony Headphones,Electronics,Audio,20000,6,120000,32,56
2025-08-05,S_004,Kukatpally,Store,D_001,Fresh Milk 1L,Daily Needs,Dairy,60,159,9540,511,1400
2025-08-05,S_004,Kukatpally,Store,D_002,Whole Wheat Bread,Daily Needs,Bakery,50,147,7350,240,1050
2025-08-05,S_004,Kukatpally,Store,D_003,Farm Eggs (12),Daily Needs,Dairy,90,101,9090,519,700
2025-08-05,S_004,Kukatpally,Store,D_004,Tomatoes (1kg),Daily Needs,Vegetables,40,219,8760,1326,1260
2025-08-05,S_004,Kukatpally,Store,H_001,Detergent 2kg,Home Essentials,Cleaning,350,28,9800,136,280
2025-08-05,S_004,Kukatpally,Store,H_002,Toilet Paper Pack,Home Essentials,Cleaning,200,59,11800,498,420
2025-08-05,S_004,Kukatpally,Store,H_003,Study Table,Home Essentials,Furniture,4000,0,0,5,7
2025-08-05,S_004,Kukatpally,Store,F_001,Mens T-Shirt,Fashion,Menswear,800,29,23200,197,175
2025-08-05,S_004,Kukatpally,Store,F_002,Womans Jeans,Fashion,Womenswear,2500,18,45000,134,105
2025-08-05,S_005,Banjara Hills,Store,E_001,iPhone 15,Electronics,Mobile,80000,4,320000,26,35
2025-08-05,S_005,Banjara Hills,Store,E_002,Samsung S24,Electronics,Mobile,75000,4,300000,33,35
2025-08-05,S_005,Banjara Hills,Store,E_003,MacBook Air,Electronics,Laptop,100000,1,100000,8,14
2025-08-05,S_005,Banjara Hills,Store,E_004,Sony Headphones,Electronics,Audio,20000,8,160000,46,56
2025-08-05,S_005,Banjara Hills,Store,D_001,Fresh Milk 1L,Daily Needs,Dairy,60,212,12720,855,1400
2025-08-05,S_005,Banjara Hills,Store,D_002,Whole Wheat Bread,Daily Needs,Bakery,50,129,6450,1002,1050
2025-08-05,S_005,Banjara Hills,Store,D_003,Farm Eggs (12),Daily Needs,Dairy,90,125,11250,427,700
2025-08-05,S_005,Banjara Hills,Store,D_004,Tomatoes (1kg),Daily Needs,Vegetables,40,174,6960,1195,1260
2025-08-05,S_005,Banjara Hills,Store,H_001,Detergent 2kg,Home Essentials,Cleaning,350,21,7350,248,280
2025-08-05,S_005,Banjara Hills,Store,H_002,Toilet Paper Pack,Home Essentials,Cleaning,200,74,14800,164,420
2025-08-05,S_005,Banjara Hills,Store,H_003,Study Table,Home Essentials,Furniture,4000,0,0,5,7
2025-08-05,S_005,Banjara Hills,Store,F_001,Mens T-Shirt,Fashion,Menswear,800,28,22400,45,175
2025-08-05,S_005,Banjara Hills,Store,F_002,Womans Jeans,Fashion,Womenswear,2500,17,42500,76,105
2025-08-05,S_006,Kondapur,Store,E_001,iPhone 15,Electronics,Mobile,80000,5,400000,11,35
2025-08-05,S_006,Kondapur,Store,E_002,Samsung S24,Electronics,Mobile,75000,3,225000,30,35
2025-08-05,S_006,Kondapur,Store,E_003,MacBook Air,Electronics,Laptop,100000,1,100000,14,14
2025-08-05,S_006,Kondapur,Store,E_004,Sony Headphones,Electronics,Audio,20000,8,160000,52,56
2025-08-05,S_006,Kondapur,Store,D_001,Fresh Milk 1L,Daily Needs,Dairy,60,229,13740,292,1400
2025-08-05,S_006,Kondapur,Store,D_002,Whole Wheat Bread,Daily Needs,Bakery,50,194,9700,789,1050
2025-08-05,S_006,Kondapur,Store,D_003,Farm Eggs (12),Daily Needs,Dairy,90,104,9360,961,700
2025-08-05,S_006,Kondapur,Store,D_004,Tomatoes (1kg),Daily Needs,Vegetables,40,212,8480,662,1260
2025-08-05,S_006,Kondapur,Store,H_001,Detergent 2kg,Home Essentials,Cleaning,350,31,10850,246,280
2025-08-05,S_006,Kondapur,Store,H_002,Toilet Paper Pack,Home Essentials,Cleaning,200,74,14800,226,420
2025-08-05,S_006,Kondapur,Store,H_003,Study Table,Home Essentials,Furniture,4000,0,0,8,7
2025-08-05,S_006,Kondapur,Store,F_001,Mens T-Shirt,Fashion,Menswear,800,29,23200,144,175
2025-08-05,S_006,Kondapur,Store,F_002,Womans Jeans,Fashion,Womenswear,2500,20,50000,102,105
2025-08-05,S_007,Begumpet,Store,E_001,iPhone 15,Electronics,Mobile,80000,5,400000,27,35
2025-08-05,S_007,Begumpet,Store,E_002,Samsung S24,Electronics,Mobile,75000,5,375000,37,35
2025-08-05,S_007,Begumpet,Store,E_003,MacBook Air,Electronics,Laptop,100000,1,100000,8,14
2025-08-05,S_007,Begumpet,Store,E_004,Sony Headphones,Electronics,Audio,20000,9,180000,39,56
2025-08-05,S_007,Begumpet,Store,D_001,Fresh Milk 1L,Daily Needs,Dairy,60,161,9660,1333,1400
